A_TH_DUBAO_SP	J_TH_DUBAO	J_SANPHAM	SOLUONG	DONGIA	DONGIA1	DONGIA2	DONGIA3	THUEVAT	CHIETKHAU	THANHTIEN	THANHTIEN1	THANHTIEN2	THANHTIEN3	NOTE1	NOTE2	NOTE3	DATENOTE	SOLUONGTON	NGAYDUPHONG1	NGAYDUPHONG2	NGAYDUPHONG3	IMG	FILENAME	J_SANPHAM_DTCPSX	J_SANPHAM_KMP	J_SANPHAM_DTTHCP	NGUYENTE	TTBANTE	TTCHIETKHAU	PTTHUEDB	THUEDB	PTTHUENK	THUENK	NUMBERA	NUMBERB	NUMBERC	NUMBERD	NUMBERE	NUMBERF	NUMBERG	NUMBERH	NOTE4	NOTE5	NOTE6	NOTE7	NOTE8	SOLUONG01	SOLUONG02	ID_DONVITINH02	SOLUONGDU	SOLUONGQD	ID_DONVITINH	NOTE9	NOTE10
658	717	1	1.000	NULL	42.500	-3.000	11.200	NULL	NULL	NULL	0.000	0.000	0.000	-2.50	-1.50	-	2017-12-27 10:49:17.797	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-2.50	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9/10	Rất mờ|Mờ|Bé|Nhiều|Kính trượt	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/27-12-2017-206-257_209_Fitting1514354828.mp4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/27-12-2017-206-257_209_Fitting1514351327.png
659	718	1	1.000	NULL	42.500	-3.000	10.800	NULL	NULL	NULL	0.000	0.000	0.000	-3.00	-0.75	1	2017-12-27 10:50:05.320	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-3.00	-0.75	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10/10	Mờ|Mờ|Bé|Nhiều|Kính bé	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/27-12-2017-206-257_209_Fitting1514353072.mp4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/27-12-2017-206-257_209_Fitting1514348372.png
702	760	2	1.000	NULL	42.000	-7.000	10.800	NULL	NULL	NULL	0.000	0.000	0.000	-1.00	-1.75	22	2018-01-04 02:13:47.473	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-1.25	-2.00	33.00	NULL	NULL	NULL	NULL	NULL	NULL	6/10	Rõ|Bình thường|To|Vừa|Tốt	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/31-12-2017-30-257_222_Fitting1515015025.mp4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/31-12-2017-30-257_222_Fitting1515008525.png
721	777	14	1.000	NULL	39.000	9.750	11.200	NULL	NULL	NULL	0.000	0.000	0.000	NULL	NULL	NULL	2018-01-04 02:29:59.867	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515017000.png	10/10	Phù hợp	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515015403.mp4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515015102.png
722	777	13	1.000	NULL	39.000	-5.250	11.200	NULL	NULL	NULL	0.000	0.000	0.000	NULL	NULL	NULL	2018-01-04 02:29:59.867	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515009302.png	10/10	Phù hợp	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515008404.mp4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515009303.png
723	778	14	1.000	NULL	39.000	9.750	11.200	NULL	NULL	NULL	0.000	0.000	0.000	NULL	NULL	NULL	2018-01-04 02:31:28.947	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515009785.png	10/10	Tốt	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515010287.mp4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515015486.png
724	778	13	1.000	NULL	39.000	-5.250	11.200	NULL	NULL	NULL	0.000	0.000	0.000	NULL	NULL	NULL	2018-01-04 02:31:28.950	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515009586.png	10/10	Tốt	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515013292.mp4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515015586.png
725	779	14	1.000	NULL	39.000	9.750	11.200	NULL	NULL	NULL	0.000	0.000	0.000	NULL	NULL	NULL	2018-01-04 02:33:38.690	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515010221.png	10/10	Phù hợp	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515009723.mp4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515014322.png
726	779	13	1.000	NULL	39.000	-5.250	11.200	NULL	NULL	NULL	0.000	0.000	0.000	NULL	NULL	NULL	2018-01-04 02:33:38.690	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515016922.png	10/10	Phù hợp	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515008024.mp4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	https://s3-ap-southeast-1.amazonaws.com/starvisionapp/04-01-2018-30-257_229_Followup1515012123.png
740	791	2	1.000	NULL	41.000	-4.250	11.200	NULL	NULL	NULL	0.000	0.000	0.000	-0.25	-1.5	33	2018-01-04 02:49:22.777	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-2.25	-1.25	33.00	39.00	43.00	41.00	NULL	11.60	NULL	10/10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
